Nº BO,Tipo Registro,Data,Hora,Tipo de BO,Natureza / Crime,Endereço,Município,UF,Nº Presos,Nº Apreensões s/ Prisão,Drogas TOTAL (kg),Cocaína/CH (kg),Pasta Base (kg),Maconha (kg),Crack (kg),Óxi (kg),Metanfetamina (kg),Ecstasy (comprimidos),Armas Apreend.,Munições Apreend.,Veículos Apreend.,Gasolina Boliviana (L),Diesel Boliviano (L),GLP (botijas),Cigarros (maços),Madeira Apreendida (m³),Desc. Celulares (un.),Desc. Roupas (un.),Mercadorias Descaminho (R$),Eletrônicos (un.),Embarcações (un.),Motor de Popa (un.),Ouro (g),Animais/Pescado (R$),Folha de Coca (kg),Dinheiro (R$),Meio,Ambiente,Destino dos Envolvidos,Latitude,Longitude,Descrição Resumida,Nacionalidade, Prejuízo Estimado (R$), Valor Estimado Descaminho (R$), Valor Estimado Veículos (R$), Multa (R$),Operação
3283501405,COP,08/07/2026,21:12:10,Comunicacao de Ocorrencia,ROUBO (CP ART. 157) / RECUPERACAO DE VEICULO ROUBADO,,PORTO VELHO,RO,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ ,000",Terrestre,Via publica,,"-8,8145042","-63,8947196",,Brasileira," R$  85.000,00 ", R$  -   ," R$  85.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3274601367,BO/PA,06/07/2026,21:00:48,Prisao/Apreensao,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33) / ASSOCIACAO CRIMINOSA (CP ART. 288)",,PORTO VELHO,RO,3,0,"0,165","0,114",0,"0,044","0,007",0,0,,0,0,0,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ 559,75000",Terrestre,Residencia,,"-8,749025","-63,845427",,Brasileira," R$  9.399,75 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3381200109,COP,05/07/2026,12:39:44,COP,ENCONTRO/RECUPERACAO DE VEICULO ROUBADO,,ARIQUEMES,RO,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ ,000",Terrestre,Zona rural,,"-9,879272","-62,826282",,Brasileira," R$  48.824,00 ", R$  -   ," R$  48.824,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3305601772,COP,05/07/2026,14:19:17,PA,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33)",,MACHADINHO D'OESTE,RO,0,1,"2,622",0,0,"2,488","0,134",0,0,,0,0,0,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ ,000",Terrestre,Residencia,,"-9,430444","-62,000982",,Brasileira," R$  13.780,00 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3283501403,BO/PA,04/07/2026,12:07:37,Prisao/Apreensao,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33) / ASSOCIACAO CRIMINOSA (CP ART. 288)",,PORTO VELHO,RO,3,0,"1,03","0,03",0,1,0,0,0,,0,0,1,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ 100,000",Terrestre,Via publica,,"-8,7947342","-63,8905501",,Brasileira," R$  82.350,00 ", R$  -   ," R$  75.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3381200108,BO,04/07/2026,22:38:21,PA,TRAFICO DE DROGAS / CORRUPCAO DE MENORES (ART. 244-B ECA),,MACHADINHO D'OESTE,RO,2,0,"0,5111","0,0051",0,"0,5015","0,0045",0,0,,0,0,2,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000",0,"RR$ 2599,85000",Terrestre,Via publica,,"-9,4251854","-62,0024675",,Brasileira," R$  64.958,85 "," R$  6.900,00 "," R$  52.524,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3329601062,BO/PA,04/07/2026,1:02:46,PA,POSSE OU PORTE ILEGAL DE ARMA DE FOGO (LEI 10.826/03) / TRANSPORTE IRREGULAR DE ARMA POR CAC,,PARECIS,RO,1,1,0,0,0,0,0,0,0,,2,17,0,0,0,0,"0,0000","0,0000",0,"R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Rodovia,,"-12,510719","-61,6158861",,Brasileira," R$  11.000,00 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3283501402,BO/PA,03/07/2026,20:42:32,Prisao/Apreensao,"PORTE ILEGAL DE ARMA DE FOGO (LEI 10.826/03, ART. 14) / COMERCIO ILEGAL DE ARMA (ART. 17)",,PORTO VELHO,RO,2,0,0,0,0,0,0,0,0,,2,18,1,0,0,0,"0,0000","0,0000",0,"R$ 0,00","RR$ ,000",0,0,0,"R$ 0,00","RR$ ,000","R$ 0,00","RR$ 997,000",Terrestre,Via publica,,"-8,7426873","-63,854833",,Brasileira," R$  101.997,00 ", R$  -   ," R$  90.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3302601434,BO/PA,03/07/2026,16:10:27,Prisao/Apreensao,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33) / ASSOCIACAO PARA O TRAFICO (ART. 35) / ORGANIZACAO CRIMINOSA (LEI 12.850/2013) / CUMPRIMENTO DE MANDADO DE PRISAO",,PORTO VELHO,RO,7,0,"1,618","0,613",0,"0,451","0,554",0,0,,0,0,0,0,0,0,"0,0000","0,0000",0,"R$ 0,00","RR$ ,000",0,0,0,"R$ 0,00","RR$ ,000","R$ 0,00","RR$ 717,4000",Terrestre,Residencia,,"-8,7679701","-63,8155839",,Brasileira," R$  54.487,40 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3380200209,BO/PA,03/07/2026,0:29:14,PA,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33) / RECAPTURA DE FORAGIDO / RESISTENCIA (ART. 329 CP)",,OURO PRETO DO OESTE,RO,2,0,"1,897",0,0,"1,051","0,846",0,0,,0,0,1,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 108,00",Terrestre,Residencia,,"-10,7130261","-62,2659471",,Brasileira," R$  23.323,00 ", R$  -   ," R$  9.500,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
